,,,,,
Country or area,UN continental region,UN statistical region,Population (1 July 2018),Population (1 July 2019),Change
Panama,Americas,Central America,4176869,4246439,+1.67%
Kuwait,Asia,Western Asia,4137312,4207083,+1.69%
Croatia,Europe,Southern Europe,4156405,4130304,−0.63%
Moldova,Europe,Eastern Europe,4051944,4043263,−0.21%
Georgia,Asia,Western Asia,4002942,3996765,−0.15%
Eritrea,Africa,Eastern Africa,3452786,3497117,+1.28%
Uruguay,Americas,South America,3449285,3461734,+0.36%
Bosnia and Herzegovina,Europe,Southern Europe,3323925,3301000,−0.69%
Mongolia,Asia,Eastern Asia,3170216,3225167,+1.73%
Armenia,Asia,Western Asia,2951745,2957731,+0.20%
Jamaica,Americas,Caribbean,2934847,2948279,+0.46%
Puerto Rico,Americas,Caribbean,3039596,2933408,−3.49%
Albania,Europe,Southern Europe,2882740,2880917,−0.06%
Qatar,Asia,Western Asia,2781682,2832067,+1.81%
Lithuania,Europe,Northern Europe,2801264,2759627,−1.49%
Namibia,Africa,Southern Africa,2448301,2494530,+1.89%
Gambia,Africa,Western Africa,2280094,2347706,+2.97%
Botswana,Africa,Southern Africa,2254068,2303697,+2.20%
Gabon,Africa,Middle Africa,2119275,2172579,+2.52%
Lesotho,Africa,Southern Africa,2108328,2125268,+0.80%
North Macedonia,Europe,Southern Europe,2082957,2083459,+0.02%
Slovenia,Europe,Southern Europe,2077837,2078654,+0.04%
Guinea-Bissau,Africa,Western Africa,1874303,1920922,+2.49%
Latvia,Europe,Northern Europe,1928459,1906743,−1.13%
Bahrain,Asia,Western Asia,1569446,1641172,+4.57%
Trinidad and Tobago,Americas,Caribbean,1389843,1394973,+0.37%
Equatorial Guinea,Africa,Middle Africa,1308975,1355986,+3.59%
Estonia,Europe,Northern Europe,1322920,1325648,+0.21%
East Timor,Asia,South-eastern Asia,1267974,1293119,+1.98%
Mauritius,Africa,Eastern Africa,1189265,1198575,+0.78%
Cyprus,Asia,Western Asia,1170125,1179551,+0.81%
Eswatini,Africa,Southern Africa,1136281,1148130,+1.04%
Djibouti,Africa,Eastern Africa,958923,973560,+1.53%
Fiji,Oceania,Melanesia,883483,889953,+0.73%
Réunion,Africa,Eastern Africa,882526,888927,+0.73%
Comoros,Africa,Eastern Africa,832322,850886,+2.23%
Guyana,Americas,South America,779006,782766,+0.48%
Bhutan,Asia,Southern Asia,754388,763092,+1.15%
Solomon Islands,Oceania,Melanesia,652857,669823,+2.60%
Macau,Asia,Eastern Asia,631636,640445,+1.39%
Montenegro,Europe,Southern Europe,627809,627987,+0.03%
Luxembourg,Europe,Western Europe,604245,615729,+1.90%
Western Sahara,Africa,Northern Africa,567402,582463,+2.65%
Suriname,Americas,South America,575990,581372,+0.93%
Cape Verde,Africa,Western Africa,543767,549935,+1.13%
Maldives,Asia,Southern Asia,515696,530953,+2.96%
Guadeloupe,Americas,Caribbean,446928,447905,+0.22%
Malta,Europe,Southern Europe,439248,440372,+0.26%
Brunei,Asia,South-eastern Asia,428963,433285,+1.01%
Belize,Americas,Central America,383071,390353,+1.90%
Bahamas,Americas,Caribbean,385637,389482,+1.00%
Martinique,Americas,Caribbean,375673,375554,−0.03%
Iceland,Europe,Northern Europe,336713,339031,+0.69%
Vanuatu,Oceania,Melanesia,292680,299882,+2.46%
Barbados,Americas,Caribbean,286641,287025,+0.13%
New Caledonia,Oceania,Melanesia,279993,282750,+0.98%
French Guiana,Americas,South America,275713,282731,+2.55%
French Polynesia,Oceania,Polynesia,277679,279287,+0.58%
Mayotte,Africa,Eastern Africa,259531,266150,+2.55%
São Tomé and Príncipe,Africa,Middle Africa,211028,215056,+1.91%
Western Samoa,Oceania,Polynesia,196129,197097,+0.49%
Saint Lucia,Americas,Caribbean,181889,182790,+0.50%
Guernsey and  Jersey,Europe,Northern Europe,170499,172259,+1.03%
Guam,Oceania,Micronesia,165768,167294,+0.92%
Curaçao,Americas,Caribbean,162752,163424,+0.41%
Kiribati,Oceania,Micronesia,115847,117606,+1.52%
F.S. Micronesia,Oceania,Micronesia,112640,113815,+1.04%
Grenada,Americas,Caribbean,111454,112003,+0.49%
Tonga,Oceania,Polynesia,110589,110940,+0.32%
Saint Vincent and the Grenadines,Americas,Caribbean,110211,110589,+0.34%
Aruba,Americas,Caribbean,105845,106314,+0.44%
U.S. Virgin Islands,Americas,Caribbean,104680,104578,−0.10%
Seychelles,Africa,Eastern Africa,97096,97739,+0.66%
Antigua and Barbuda,Americas,Caribbean,96286,97118,+0.86%
Isle of Man,Europe,Northern Europe,84077,84584,+0.60%
Andorra,Europe,Southern Europe,77006,77142,+0.18%
Dominica,Americas,Caribbean,71625,71808,+0.26%
Cayman Islands,Americas,Caribbean,64174,64948,+1.21%
Bermuda,Americas,Northern America,62756,62506,−0.40%
Marshall Islands,Oceania,Micronesia,58413,58791,+0.65%
Greenland,Americas,Northern America,56564,56672,+0.19%
Northern Mariana Islands,Oceania,Micronesia,56882,56188,−1.22%
American Samoa,Oceania,Polynesia,55465,55312,−0.28%
Saint Kitts and Nevis,Americas,Caribbean,52441,52823,+0.73%
Faroe Islands,Europe,Northern Europe,48497,48678,+0.37%
Sint Maarten,Americas,Caribbean,41940,42388,+1.07%
Monaco,Europe,Western Europe,38682,38964,+0.73%
Turks and Caicos Islands,Americas,Caribbean,37665,38191,+1.40%
Liechtenstein,Europe,Western Europe,37910,38019,+0.29%
San Marino,Europe,Southern Europe,33785,33860,+0.22%
Gibraltar,Europe,Southern Europe,33718,33701,−0.05%
British Virgin Islands,Americas,Caribbean,29802,30030,+0.77%
Caribbean Netherlands,Americas,Caribbean,25711,25979,+1.04%
Palau,Oceania,Micronesia,17907,18008,+0.56%
Cook Islands,Oceania,Polynesia,17518,17548,+0.17%
Anguilla,Americas,Caribbean,14731,14869,+0.94%
Tuvalu,Oceania,Polynesia,11508,11646,+1.20%
Wallis and Futuna,Oceania,Polynesia,11661,11432,−1.96%
Nauru,Oceania,Micronesia,10670,10756,+0.81%
"Saint Helena,  Ascension and Tristan da Cunha",Africa,Western Africa,6035,6059,+0.40%
Saint Pierre and Miquelon,Americas,Northern America,5849,5822,−0.46%
Montserrat,Americas,Caribbean,4993,4989,−0.08%
Falkland Islands,Americas,South America,3234,3377,+4.42%
Niue,Oceania,Polynesia,1620,1615,−0.31%
Tokelau,Oceania,Polynesia,1319,1340,+1.59%
Vatican City,Europe,Southern Europe,801,799,−0.25%
World,,,7631091040,7713468100,+1.08%
